Date Saved,02/10/2017 13:53:18
Title,2017-10-02 Wan_001_02ﾟ_2830K

Measuring Mode,Ambient
Spectral Data 494[nm],0.002611090895
Spectral Data 495[nm],0.002639973769
Spectral Data 496[nm],0.002669124864
Spectral Data 497[nm],0.002698320895
Spectral Data 498[nm],0.002727468964
Spectral Data 499[nm],0.002756654052
Spectral Data 500[nm],0.002785974415
Spectral Data 501[nm],0.002815524116
Spectral Data 502[nm],0.002845342038
Spectral Data 503[nm],0.002875423059
Spectral Data 504[nm],0.002905760892
Spectral Data 505[nm],0.002936335048
Spectral Data 506[nm],0.002967027249
Spectral Data 507[nm],0.002997674281
Spectral Data 508[nm],0.003028113162
Spectral Data 509[nm],0.003058264498
Spectral Data 510[nm],0.003088374622
Spectral Data 511[nm],0.003118764376
Spectral Data 512[nm],0.003149753436
Spectral Data 513[nm],0.003181488253
Spectral Data 514[nm],0.003213759046
Spectral Data 515[nm],0.003246312728
Spectral Data 516[nm],0.003278901335
Spectral Data 517[nm],0.003311445704
Spectral Data 518[nm],0.003344058525
Spectral Data 519[nm],0.003376862733
Spectral Data 520[nm],0.003409972880
Spectral Data 521[nm],0.003443398513
Spectral Data 522[nm],0.003477080492
Spectral Data 523[nm],0.003510958981
Spectral Data 524[nm],0.003544977400
Spectral Data 525[nm],0.003579098266
Spectral Data 526[nm],0.003613292007
Spectral Data 527[nm],0.003647528356
Spectral Data 528[nm],0.003681766568
Spectral Data 529[nm],0.003715933068
Spectral Data 530[nm],0.003749947762
Spectral Data 531[nm],0.003783732885
Spectral Data 532[nm],0.003817328950
Spectral Data 533[nm],0.003850978101
Spectral Data 534[nm],0.003884942038
Spectral Data 535[nm],0.003919472918
Spectral Data 536[nm],0.003954619635
Spectral Data 537[nm],0.003990238532
Spectral Data 538[nm],0.004026177339
Spectral Data 539[nm],0.004062305670
Spectral Data 540[nm],0.004098680336
Spectral Data 541[nm],0.004135461058
Spectral Data 542[nm],0.004172809422
Spectral Data 543[nm],0.004210822750
Spectral Data 544[nm],0.004249301273
Spectral Data 545[nm],0.004287958145
Spectral Data 546[nm],0.004326507915
Spectral Data 547[nm],0.004364746157
Spectral Data 548[nm],0.004402666818
Spectral Data 549[nm],0.004440296441
Spectral Data 550[nm],0.004477660172
Spectral Data 551[nm],0.004514670931
Spectral Data 552[nm],0.004551068880
Spectral Data 553[nm],0.004586582538
Spectral Data 554[nm],0.004620957654
Spectral Data 555[nm],0.004654324148
Spectral Data 556[nm],0.004687186331
Spectral Data 557[nm],0.004720065277
Spectral Data 558[nm],0.004753440153
Spectral Data 559[nm],0.004787344951
Spectral Data 560[nm],0.004821544979
Spectral Data 561[nm],0.004855801351
Spectral Data 562[nm],0.004889913835
Spectral Data 563[nm],0.004923910368
Spectral Data 564[nm],0.004957906436
Spectral Data 565[nm],0.004992017522
Spectral Data 566[nm],0.005026335828
Spectral Data 567[nm],0.005060868803
Spectral Data 568[nm],0.005095607601
Spectral Data 569[nm],0.005130541511
Spectral Data 570[nm],0.005165665876
Spectral Data 571[nm],0.005200988147
Spectral Data 572[nm],0.005236516707
Spectral Data 573[nm],0.005272261333
Spectral Data 574[nm],0.005308235995
Spectral Data 575[nm],0.005344463978
Spectral Data 576[nm],0.005380968098
Spectral Data 577[nm],0.005417765118
Spectral Data 578[nm],0.005454769824
Spectral Data 579[nm],0.005491806660
Spectral Data 580[nm],0.005528698675
Spectral Data 581[nm],0.005565288942
Spectral Data 582[nm],0.005601615179
Spectral Data 583[nm],0.005637819413
Spectral Data 584[nm],0.005674044136
Spectral Data 585[nm],0.005710402969
Spectral Data 586[nm],0.005746854004
Spectral Data 587[nm],0.005783304106
Spectral Data 588[nm],0.005819659680
Spectral Data 589[nm],0.005855884403
Spectral Data 590[nm],0.005892104935
Spectral Data 591[nm],0.005928478669
Spectral Data 592[nm],0.005965162534
Spectral Data 593[nm],0.006002194714
Spectral Data 594[nm],0.006039419211
Spectral Data 595[nm],0.006076660939
Spectral Data 596[nm],0.006113751791
Spectral Data 597[nm],0.006150670350
Spectral Data 598[nm],0.006187535357
Spectral Data 599[nm],0.006224472076
Spectral Data 600[nm],0.006261582021
Spectral Data 601[nm],0.006298734341
Spectral Data 602[nm],0.006335666869
Spectral Data 603[nm],0.006372116506
Spectral Data 604[nm],0.006407840643
Spectral Data 605[nm],0.006442704704
Spectral Data 606[nm],0.006476607639
Spectral Data 607[nm],0.006509447936
Spectral Data 608[nm],0.006541239563
Spectral Data 609[nm],0.006572313607
Spectral Data 610[nm],0.006603051908
Spectral Data 611[nm],0.006633834448
Spectral Data 612[nm],0.006664806511
Spectral Data 613[nm],0.006695748307
Spectral Data 614[nm],0.006726406980
Spectral Data 615[nm],0.006756542251
Spectral Data 616[nm],0.006786136422
Spectral Data 617[nm],0.006815377157
Spectral Data 618[nm],0.006844461430
Spectral Data 619[nm],0.006873562001
Spectral Data 620[nm],0.006902634166
Spectral Data 621[nm],0.006931520533
Spectral Data 622[nm],0.006960061844
Spectral Data 623[nm],0.006988156587
Spectral Data 624[nm],0.007015976589
Spectral Data 625[nm],0.007043774240
Spectral Data 626[nm],0.007071803790
Spectral Data 627[nm],0.007100231014
Spectral Data 628[nm],0.007128999569
Spectral Data 629[nm],0.007158017252
Spectral Data 630[nm],0.007187194191
Spectral Data 631[nm],0.007216488943
Spectral Data 632[nm],0.007245935034
Spectral Data 633[nm],0.007275571581
Spectral Data 634[nm],0.007305430714
Spectral Data 635[nm],0.007335425355
Spectral Data 636[nm],0.007365366910
Spectral Data 637[nm],0.007395062596
Spectral Data 638[nm],0.007424341515
Spectral Data 639[nm],0.007453197148
Spectral Data 640[nm],0.007481698878
Spectral Data 641[nm],0.007509917021
Spectral Data 642[nm],0.007537975442
Spectral Data 643[nm],0.007566205226
Spectral Data 644[nm],0.007594982162
Spectral Data 645[nm],0.007624679711
Spectral Data 646[nm],0.007655397058
Spectral Data 647[nm],0.007686717436
Spectral Data 648[nm],0.007718167268
Spectral Data 649[nm],0.007749282755
Spectral Data 650[nm],0.007779862266
Spectral Data 651[nm],0.007809965406
Spectral Data 652[nm],0.007839662954
Spectral Data 653[nm],0.007869041525
Spectral Data 654[nm],0.007898330688
Spectral Data 655[nm],0.007927835919
Spectral Data 656[nm],0.007957865484
Spectral Data 657[nm],0.007988636382
Spectral Data 658[nm],0.008019980974
Spectral Data 659[nm],0.008051625453
Spectral Data 660[nm],0.008083293214
Spectral Data 661[nm],0.008114794269
Spectral Data 662[nm],0.008146120235
Spectral Data 663[nm],0.008177287877
Spectral Data 664[nm],0.008208313957
Spectral Data 665[nm],0.008239214309
Spectral Data 666[nm],0.008270002902
Spectral Data 667[nm],0.008300694637
Spectral Data 668[nm],0.008331299759
Spectral Data 669[nm],0.008361812681
Spectral Data 670[nm],0.008392213844
Spectral Data 671[nm],0.008422482759
Spectral Data 672[nm],0.008452590555
Spectral Data 673[nm],0.008482471108
Spectral Data 674[nm],0.008512045257
Spectral Data 675[nm],0.008541231975
Spectral Data 676[nm],0.008569978178
Spectral Data 677[nm],0.008598293178
Spectral Data 678[nm],0.008626196533
Spectral Data 679[nm],0.008653706871
Spectral Data 680[nm],0.008680804633
Spectral Data 681[nm],0.008707419038
Spectral Data 682[nm],0.008733477443
Spectral Data 683[nm],0.008758923039
Spectral Data 684[nm],0.008783855475
Spectral Data 685[nm],0.008808480576
Spectral Data 686[nm],0.008833003230
Spectral Data 687[nm],0.008857611567
Spectral Data 688[nm],0.008882399648
Spectral Data 689[nm],0.008907430805
Spectral Data 690[nm],0.008932771161
Spectral Data 691[nm],0.008958400227
Spectral Data 692[nm],0.008984098211
Spectral Data 693[nm],0.009009617381
Spectral Data 694[nm],0.009034709074
Spectral Data 695[nm],0.009059138596
Spectral Data 696[nm],0.009082683362
Spectral Data 697[nm],0.009105123580
Spectral Data 698[nm],0.009126254357
Spectral Data 699[nm],0.009146079421
Spectral Data 700[nm],0.009164726362
Spectral Data 701[nm],0.009182326496
Spectral Data 702[nm],0.009199044667
Spectral Data 703[nm],0.009215192869
Spectral Data 704[nm],0.009231130593
Spectral Data 705[nm],0.009247218259
Spectral Data 706[nm],0.009263659827
Spectral Data 707[nm],0.009280357510
Spectral Data 708[nm],0.009297176264
Spectral Data 709[nm],0.009313984774
Spectral Data 710[nm],0.009330678731
Spectral Data 711[nm],0.009347179905
Spectral Data 712[nm],0.009363409132
Spectral Data 713[nm],0.009379377589
Spectral Data 714[nm],0.009395460598
Spectral Data 715[nm],0.009412124753
